,Id,MSSubClass,MSZoning,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,TotalSF,Total_Bathrooms,Total_porch_SF,hasPool,hasBasement,hasFirePlaces,has2ndFloor,GrupoPrecio
1,1,2_story_1946_,RL,9.04204005654448,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,BrkFace,196,Gd,TA,PConc,Gd,TA,No,Unf,6.56103066589657,Unf,0,5.01727983681492,856,GasA,Ex,Y,SBrkr,856,854,0,7.44483327389219,1,0,2,1,3,0.693147180559945,Gd,8,Typ,0,NA,Attchd,2003,RFn,2,548,TA,TA,Y,0,61,0,0,0,0,NA,NA,NA,0,2,2008,WD,Normal,12.247694320221,7.85010354517558,3.5,61,False,True,False,True,Muy Caro
2,2,1_story_1946_,RL,9.16962253869762,Pave,NA,Reg,Lvl,AllPub,FR2,Gtl,Veenker,Feedr,Norm,1Fam,1Story,6,8,1960_1990,1960_1990,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,CBlock,Gd,TA,Gd,Unf,6.88653164253051,Unf,0,5.65248918026865,1262,GasA,Ex,Y,SBrkr,1262,0,0,7.14124512235049,0,1,2,0,3,0.693147180559945,TA,6,Typ,1,TA,Attchd,1976,RFn,2,460,TA,TA,Y,298,0,0,0,0,0,NA,NA,NA,0,5,2007,WD,Normal,12.109010932687,7.8336002236611,2.5,298,False,True,True,False,Caro
3,3,2_story_1946_,RL,9.32821229257107,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,2Story,7,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,BrkFace,162,Gd,TA,PConc,Gd,TA,Mn,Unf,6.18826412308259,Unf,0,6.07534603108868,920,GasA,Ex,Y,SBrkr,920,866,0,7.48829351515943,1,0,2,1,3,0.693147180559945,Gd,6,Typ,1,TA,Attchd,2001,RFn,2,608,TA,TA,Y,0,42,0,0,0,0,NA,NA,NA,0,9,2008,WD,Normal,12.3171666930358,7.90322680873073,3.5,42,False,True,True,True,Muy Caro
4,4,2_story_1945_,RL,9.16440114003474,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,2Story,7,5,1900_1930,1960_1990,Gable,CompShg,Wd Sdng,Wd Shng,None,0,TA,TA,BrkTil,TA,Gd,No,Unf,5.37989735354046,Unf,0,6.29341927884648,756,GasA,Gd,Y,SBrkr,961,756,0,7.4489161025442,1,0,1,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Detchd,1998,Unf,3,642,TA,TA,Y,0,35,272,0,0,0,NA,NA,NA,0,2,2006,WD,Abnorml,11.8493977015914,7.81318726752142,2,307,False,True,True,True,Muy Barato
5,5,2_story_1946_,RL,9.56528381773677,Pave,NA,IR1,Lvl,AllPub,FR2,Gtl,NoRidge,Norm,Norm,1Fam,2Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,BrkFace,350,Gd,TA,PConc,Gd,TA,Av,Unf,6.48616078894409,Unf,0,6.19644412779452,1145,GasA,Ex,Y,SBrkr,1145,1053,0,7.69575799055476,1,0,2,1,4,0.693147180559945,Gd,9,Typ,1,TA,Attchd,2000,RFn,3,836,TA,TA,Y,192,84,0,0,0,0,NA,NA,NA,0,12,2008,WD,Normal,12.4292161968444,8.1146238864201,3.5,276,False,True,True,True,Muy Caro
6,6,1_5 story_fin,RL,9.55506418479516,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,5,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,None,0,TA,TA,Wood,Gd,TA,No,Unf,6.59714570188665,Unf,0,4.17438726989564,796,GasA,Ex,Y,SBrkr,796,566,0,7.21744343169653,1,0,1,1,1,0.693147180559945,TA,5,Typ,0,NA,Attchd,1993,Unf,2,480,TA,TA,Y,40,30,0,320,0,0,NA,MnPrv,Shed,700,10,2009,WD,Normal,11.870599909242,7.67693714581808,2.5,390,False,True,False,True,Muy Barato
7,7,1_story_1946_,RL,9.21880445038831,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,1990_,1990_,Gable,CompShg,VinylSd,VinylSd,Stone,186,Gd,TA,PConc,Ex,TA,Av,Unf,7.22256601882217,Unf,0,5.76205138278018,1686,GasA,Ex,Y,SBrkr,1694,0,0,7.43543801981455,1,0,2,0,3,0.693147180559945,Gd,7,Typ,1,Gd,Attchd,2004,RFn,2,636,TA,TA,Y,255,57,0,0,0,0,NA,NA,NA,0,8,2007,WD,Normal,12.6346030265693,8.12563098847706,3,312,False,True,True,False,Muy Caro
8,8,2_story_1946_,RL,9.24792513230345,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,NWAmes,PosN,Norm,1Fam,2Story,7,6,1960_1990,1960_1990,Gable,CompShg,HdBoard,HdBoard,Stone,240,TA,TA,CBlock,Gd,TA,Mn,BLQ,6.75693238924755,BLQ,32,5.37989735354046,1107,GasA,Ex,Y,SBrkr,1107,983,0,7.64539769942863,1,0,2,1,3,0.693147180559945,TA,7,Typ,2,TA,Attchd,1973,RFn,2,484,TA,TA,Y,235,204,228,0,0,0,NA,NA,Shed,350,11,2009,WD,Normal,12.2060726455302,8.06996814905984,3.5,667,False,True,True,True,Muy Caro
9,9,1_5 story_fin,RM,8.71948076085107,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Artery,Norm,1Fam,1.5Fin,7,5,1930_1960,1930_1960,Gable,CompShg,BrkFace,Wd Shng,None,0,TA,TA,BrkTil,TA,TA,No,Unf,0,Unf,0,6.8596149036542,952,GasA,Gd,Y,FuseF,1022,752,0,7.48155570190952,0,0,2,0,2,1.09861228866811,TA,8,Min1,2,TA,Detchd,1931,Unf,2,468,Fa,TA,Y,90,0,205,0,0,0,NA,NA,NA,0,4,2008,WD,Abnorml,11.7745202026587,7.91059061225648,2,295,False,True,True,True,Muy Barato
10,10,2_family_conversion,RL,8.91206909797013,Pave,NA,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Artery,Artery,2fmCon,1.5Unf,5,6,1930_1960,1930_1960,Gable,CompShg,MetalSd,MetalSd,None,0,TA,TA,BrkTil,TA,TA,No,Unf,6.74758652682932,Unf,0,4.94875989037817,991,GasA,Ex,Y,SBrkr,1077,0,0,6.98286275146894,1,0,1,0,2,1.09861228866811,TA,5,Typ,2,TA,Attchd,1939,RFn,1,205,Gd,TA,Y,0,4,0,0,0,0,NA,NA,NA,0,1,2008,WD,Normal,11.6784399034478,7.63433723562832,2,4,False,True,True,False,Muy Barato
