"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasBasement","hasFirePlaces","has2ndFloor","GrupoPrecio"
"1","1_story_1946_","RL",0.25659002365228,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",4,5,"1930_1960","1930_1960","Gable","CompShg","Plywood","Plywood","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","No","LwQ",0.241068624843624,"LwQ",2.91618140036858,0.0390175568178778,0.379558389444464,"GasA","TA","Y","SBrkr",0.148183954086403,-0.914952241455898,-0.123746348511058,-0.688358520189969,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",-0.412192623711549,"Typ",2.09805933795079,"Gd","Attchd",-0.909457386941317,"Unf",-1.32054549543561,-1.10891135864049,"TA","TA","Y",-0.734893767692323,2.16963219327128,1.95803184590238,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"11","2009","WD","Family",0.210926472788031,-0.106989564973411,-0.313680608443329,0.817501390992205,"False","True","True","False","Normal"
"2","2_story_1946_","RL",0.104774187047129,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NWAmes","Norm","Norm","1Fam","2Story",6,6,"1960_1990","1960_1990","Gable","CompShg","MetalSd","MetalSd","None",-0.644760428806657,"TA","TA","CBlock","TA","TA","No","Unf",0.502669328412863,"Unf",-0.331643014397708,0.189473446315178,-0.803888438088785,"GasA","TA","Y","SBrkr",-0.595262440936828,0.782461416602062,-0.123746348511058,0.364627296390118,-0.794187118669497,-0.268362461461244,-1.08929782237594,3.05883159542556,1.44473444557639,-0.17542048164079,"TA",0.262994066662584,"Typ",-0.946407201358236,"NA","Attchd",-0.317008324693437,"RFn",0.179818961080594,-0.336324833118512,"TA","TA","Y",-0.734893767692323,0.445179572804081,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","GdWo","NA",-0.130244470789518,"6","2010","WD","Normal",0.303492975930548,-0.165414113905171,-0.313680608443329,-0.698659968358137,"False","True","False","True","Caro"
"3","2_story_1946_","RL",0.49613183286356,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Timber","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",-0.0585975990102475,"Gd","TA","PConc","Gd","TA","Gd","Unf",0.797145717199073,"Unf",-0.331643014397708,0.144185508299327,0.189230858418499,"GasA","Ex","Y","SBrkr",-0.000505324918242821,2.26621461420517,-0.123746348511058,1.7434557538469,1.03381254240598,-0.268362461461244,2.59225304565415,1.12350449595015,2.76126719973644,-0.17542048164079,"Gd",2.28855413778498,"Typ",0.575826068296276,"Gd","BuiltIn",0.946883008102041,"Fin",0.179818961080594,-0.278512235970609,"TA","TA","Y",0.25585440307356,-0.269458450092236,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2007","WD","Normal",0.654363191667842,1.31019593265856,2.59440003233336,-0.112733068529519,"False","True","True","True","Caro"
"4","1_story_1946_","RL",-0.142178335361676,"Pave","NA","IR2","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",5,7,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"TA","Gd","PConc","Gd","Gd","No","Unf",0.587702918893222,"Unf",-0.331643014397708,0.407785983272389,-0.132861886394674,"GasA","Ex","Y","SBrkr",-0.430052130931665,-0.914952241455898,-0.123746348511058,-1.3304367166973,1.03381254240598,-0.268362461461244,-1.08929782237594,-0.811822603525268,0.128201691416335,-0.17542048164079,"TA",-1.08737931408568,"Typ",-0.946407201358236,"NA","Detchd",0.630910174903171,"Unf",-1.32054549543561,-0.635899200157645,"TA","TA","Y",1.0387533072452,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2007","WD","Normal",0.0931947357802616,-0.77570866622004,-0.313680608443329,0.376546095244895,"False","True","False","False","Normal"
"5","duplex_all_style_age","RL",0.421548565341426,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","NAmes","Feedr","Norm","Duplex","2Story",5,5,"1930_1960","1930_1960","Gable","Roll","AsbShng","AsbShng","Stone",2.890923874327,"TA","TA","CBlock","TA","TA","No","Unf",0.362682105200761,"Unf",-0.331643014397708,0.529281155153119,-0.284147872594801,"GasA","Gd","Y","FuseA",-0.600769451270333,1.44006083377976,-0.123746348511058,0.880767198109215,-0.794187118669497,-0.268362461461244,0.751477611639102,-0.811822603525268,1.44473444557639,5.6792380931206,"TA",2.28855413778498,"Typ",-0.946407201358236,"NA","Detchd",-1.22543022014019,"Unf",0.179818961080594,-0.551808149760695,"TA","Fa","Y",-0.734893767692323,-0.766597944280978,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2007","WD","Normal",-0.81356034156486,0.487952380485045,-0.313680608443329,-1.16981768162239,"False","True","False","True","Barato"
"6","1_story_PUD_1946_","RL",-0.506517896007151,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",-0.0585975990102475,"Gd","TA","PConc","Gd","TA","No","Unf",-1.52212046813172,"Unf",-0.331643014397708,0.898583089260879,0.789494610115776,"GasA","Ex","Y","SBrkr",0.610772822100859,-0.914952241455898,-0.123746348511058,-0.250966256310147,-0.794187118669497,-0.268362461461244,0.751477611639102,-0.811822603525268,-1.18833106274372,-0.17542048164079,"Gd",-0.412192623711549,"Typ",0.575826068296276,"Gd","Attchd",1.02587621640176,"RFn",0.179818961080594,-0.162887041674803,"TA","TA","Y",0.179643005322339,-0.222851622512041,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"9","2006","New","Partial",0.482726404743914,0.348488107302204,-0.313680608443329,-0.161056936556621,"False","True","True","False","Caro"
"7","2_story_1946_","RL",0.0823162886081608,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"TA","TA","PConc","Gd","TA","No","Unf",0.662114137006505,"Unf",-0.331643014397708,0.202376679984384,-0.315869127765796,"GasA","Ex","Y","SBrkr",-0.567727389269301,0.865551595667836,-0.123746348511058,0.454734148410958,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"TA",0.262994066662584,"Typ",0.575826068296276,"TA","Attchd",0.828393195652464,"RFn",0.179818961080594,-0.331069142468703,"TA","TA","Y",-0.734893767692323,0.0101825153889314,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"6","2007","WD","Normal",0.11118687285767,0.177931740838609,1.43116777602269,-0.867793506452996,"False","True","True","True","Normal"
"8","2_story_1946_","RL",-0.0965968847347474,"Pave","NA","Reg","Lvl","AllPub","FR2","Gtl","CollgCr","Norm","Norm","1Fam","2Story",6,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"Gd","TA","PConc","Gd","TA","No","Unf",0.317185451892042,"Unf",-0.331643014397708,0.38265797563283,-0.747766217401641,"GasA","Ex","Y","SBrkr",-1.12393543295335,0.837063534273856,-0.123746348511058,0.00270580700459301,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"Gd",0.262994066662584,"Typ",-0.946407201358236,"NA","Attchd",1.02587621640176,"Fin",0.179818961080594,0.183988541212614,"TA","TA","Y",-0.042062879044852,-0.222851622512041,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"2","2009","WD","Normal",-0.0300117905770001,-0.387405622102804,1.43116777602269,-0.354352408665031,"False","True","False","True","Normal"
"9","2_story_1946_","RL",-0.00880365270946834,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Gilbert","Norm","Norm","1Fam","2Story",6,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",-0.644760428806657,"TA","TA","PConc","Gd","TA","Gd","Unf",0.824286808217795,"Unf",-0.331643014397708,-0.486759128856289,-0.247546424320577,"GasA","Gd","Y","SBrkr",-0.559466873769043,0.734981314278762,-0.123746348511058,0.35038964004209,1.03381254240598,-0.268362461461244,0.751477611639102,1.12350449595015,0.128201691416335,-0.17542048164079,"TA",0.262994066662584,"Typ",2.09805933795079,"TA","Attchd",0.749399987352747,"Fin",0.179818961080594,-0.173398422974422,"TA","TA","Y",-0.042062879044852,-0.176244794931847,-0.343723937474906,-0.135897953653059,-0.276536832131601,0,"NA","NA","NA",-0.130244470789518,"7","2008","WD","Normal",0.30609537277096,0.145757083072394,1.43116777602269,-0.336230958154868,"False","True","True","True","Caro"
"10","1_5 story_fin","RM",-0.0176341676838478,"Pave","NA","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Fin",6,6,"1930_1960","1930_1960","Gable","CompShg","Wd Sdng","Wd Sdng","None",-0.644760428806657,"TA","Gd","PConc","TA","TA","No","Unf",-1.52212046813172,"Unf",-0.331643014397708,0.583566585919312,-0.645282162233813,"GasA","TA","Y","SBrkr",-1.00828821594973,0.497580802662264,-0.123746348511058,-0.233927738388404,-0.794187118669497,-0.268362461461244,-1.08929782237594,1.12350449595015,0.128201691416335,-0.17542048164079,"Gd",-0.412192623711549,"Typ",0.575826068296276,"Gd","Detchd",-0.00103549149456777,"Unf",-1.32054549543561,0.205011303811852,"TA","TA","P",-0.734893767692323,1.75017074504953,-0.343723937474906,-0.135897953653059,2.13238396190551,0,"NA","NA","NA",-0.130244470789518,"12","2007","WD","Normal",-0.718090258805612,-0.481297597296549,-0.895296736598667,0.569841567353305,"False","True","True","True","Barato"
