"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasFirePlaces","GrupoPrecio"
"1","1_story_1946_","RL",9.16962253869762,"Pave","NA","Reg","Lvl","AllPub","FR2","Gtl","Veenker","Feedr","Norm","1Fam","1Story",6,8,"1970_1980","1970_1980","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","CBlock","Gd","TA","Gd","Unf",6.88653164253051,"Unf",0,5.65248918026865,1262,"GasA","Ex","Y","SBrkr",1262,0,0,7.14124512235049,0,1,2,0,3,0.693147180559945,"TA",6,"Typ",1,"TA","Attchd",1976,"RFn",2,460,"TA","TA","Y",298,0,0,0,0,0,"NA","NA","NA",0,"5","2007","WD","Normal",12.109010932687,7.8336002236611,2.5,298,"FALSE","FALSE","Barato"
"2","2_story_1946_","RL",9.32821229257107,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",162,"Gd","TA","PConc","Gd","TA","Mn","Unf",6.18826412308259,"Unf",0,6.07534603108868,920,"GasA","Ex","Y","SBrkr",920,866,0,7.48829351515943,1,0,2,1,3,0.693147180559945,"Gd",6,"Typ",1,"TA","Attchd",2001,"RFn",2,608,"TA","TA","Y",0,42,0,0,0,0,"NA","NA","NA",0,"9","2008","WD","Normal",12.3171666930358,7.90322680873073,3.5,42,"FALSE","FALSE","Barato"
"3","2_story_1945_","RL",9.16440114003474,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","Crawfor","Norm","Norm","1Fam","2Story",7,5,"1910_1920","1960_1970","Gable","CompShg","Wd Sdng","Wd Shng","None",0,"TA","TA","BrkTil","TA","Gd","No","Unf",5.37989735354046,"Unf",0,6.29341927884648,756,"GasA","Gd","Y","SBrkr",961,756,0,7.4489161025442,1,0,1,0,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Detchd",1998,"Unf",3,642,"TA","TA","Y",0,35,272,0,0,0,"NA","NA","NA",0,"2","2006","WD","Abnorml",11.8493977015914,7.81318726752142,2,307,"FALSE","FALSE","Barato"
"4","2_story_1946_","RL",9.56528381773677,"Pave","NA","IR1","Lvl","AllPub","FR2","Gtl","NoRidge","Norm","Norm","1Fam","2Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",350,"Gd","TA","PConc","Gd","TA","Av","Unf",6.48616078894409,"Unf",0,6.19644412779452,1145,"GasA","Ex","Y","SBrkr",1145,1053,0,7.69575799055476,1,0,2,1,4,0.693147180559945,"Gd",9,"Typ",1,"TA","Attchd",2000,"RFn",3,836,"TA","TA","Y",192,84,0,0,0,0,"NA","NA","NA",0,"12","2008","WD","Normal",12.4292161968444,8.1146238864201,3.5,276,"FALSE","FALSE","Caro"
"5","1_5_story_fin","RL",9.55506418479516,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","Mitchel","Norm","Norm","1Fam","1.5Fin",5,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","Wood","Gd","TA","No","Unf",6.59714570188665,"Unf",0,4.17438726989564,796,"GasA","Ex","Y","SBrkr",796,566,0,7.21744343169653,1,0,1,1,1,0.693147180559945,"TA",5,"Typ",0,"NA","Attchd",1993,"Unf",2,480,"TA","TA","Y",40,30,0,320,0,0,"NA","MnPrv","Shed",700,"10","2009","WD","Normal",11.870599909242,7.67693714581808,2.5,390,"FALSE","FALSE","Barato"
"6","1_story_1946_","RL",9.29844282019773,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,5,"1950_1960","1950_1960","Hip","CompShg","MetalSd","MetalSd","BrkFace",212,"TA","TA","CBlock","TA","TA","No","Unf",6.59850902861452,"Unf",0,6.25575004175337,1253,"GasA","TA","Y","SBrkr",1253,0,0,7.13409372119287,1,0,1,1,2,0.693147180559945,"TA",5,"Typ",1,"Fa","Attchd",1960,"RFn",1,352,"TA","TA","Y",0,213,176,0,0,0,"NA","GdWo","NA",0,"5","2008","WD","Normal",11.9640010843304,7.82644313545601,2.5,389,"FALSE","FALSE","Barato"
"7","1_story_1946_","RL",9.52485909838152,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","SawyerW","RRAe","Norm","1Fam","1Story",5,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","None",0,"TA","TA","PConc","TA","TA","No","Unf",6.4723462945009,"Unf",0,6.15060276844628,1114,"GasA","Ex","Y","SBrkr",1114,0,0,7.01660968389422,1,0,1,1,3,0.693147180559945,"Gd",6,"Typ",0,"NA","Detchd",2004,"Unf",2,576,"TA","TA","Y",0,102,0,0,0,0,"NA","NA","NA",0,"6","2008","WD","Normal",11.9766594812024,7.70885960104718,2.5,102,"FALSE","FALSE","Barato"
"8","1_5_story_unf","RM",8.9159693113736,"Pave","Grvl","Reg","Bnk","AllPub","Inside","Gtl","IDOTRR","Norm","Norm","1Fam","1.5Unf",7,7,"1920_1930","1940_1950","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","PConc","TA","TA","No","Unf",0,"Unf",0,6.45833828334479,637,"GasA","Ex","Y","FuseF",1108,0,0,7.01121398735037,0,0,1,0,3,0.693147180559945,"Gd",6,"Typ",1,"Gd","Attchd",1930,"Unf",1,280,"TA","TA","N",0,0,205,0,0,0,"NA","GdPrv","NA",0,"6","2007","WD","Normal",11.8451027773086,7.46450983463653,1,205,"FALSE","FALSE","Barato"
"9","1_story_1946_","RL",9.05310159554969,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,6,"1960_1970","1990_","Gable","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",0,"Unf",0,7.11395610956603,1228,"GasA","Gd","Y","SBrkr",1228,0,0,7.11395610956603,0,0,1,1,3,0.693147180559945,"Gd",6,"Typ",0,"NA","Attchd",1966,"Unf",1,271,"TA","TA","Y",0,65,0,0,0,0,"NA","MnPrv","NA",0,"6","2008","WD","Normal",11.9140478236443,7.80628928926703,1.5,65,"FALSE","FALSE","Barato"
"10","1_story_PUD_1946_","RL",8.89754559870933,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","TwnhsE","1Story",9,5,"1990_","1990_","Hip","CompShg","MetalSd","MetalSd","BrkFace",246,"Ex","TA","PConc","Ex","TA","No","Unf",7.05098944706805,"Unf",0,6.0137151560428,1561,"GasA","Ex","Y","SBrkr",1561,0,0,7.35372233039963,1,0,2,0,2,0.693147180559945,"Ex",6,"Typ",1,"Gd","Attchd",2005,"Fin",2,556,"TA","TA","Y",203,47,0,0,0,0,"NA","NA","NA",0,"8","2007","WD","Normal",12.5335762121686,8.04622910107538,3,250,"FALSE","FALSE","Caro"
