"","LotArea","GrLivArea","MSSubClass","Neighborhood","BedroomAbvGr","2ndFlrSF","FullBath","TotalBsmtSF","MasVnrArea","OverallCond","1stFlrSF","GarageArea","MSZoning","BldgType","Total_porch_SF","Heating","OverallQual","YearBuilt","BsmtQual","BsmtFinSF1","Total_Bathrooms","ExterQual","KitchenQual","SaleCondition","MasVnrType","BsmtUnfSF","SalePrice","GrupoPrecio"
"1",9.16962253869762,7.14124512235049,"1_story_1946_","Veenker",3,0,2,1262,0,8,1262,460,"RL","1Fam",298,"GasA",6,"1970_1980","Gd",6.88653164253051,2.5,"TA","TA","Normal","None",5.65248918026865,12.109010932687,"Barato"
"2",9.32821229257107,7.48829351515943,"2_story_1946_","CollgCr",3,866,2,920,162,5,920,608,"RL","1Fam",42,"GasA",7,"1990_","Gd",6.18826412308259,3.5,"Gd","Gd","Normal","BrkFace",6.07534603108868,12.3171666930358,"Barato"
"3",9.16440114003474,7.4489161025442,"2_story_1945_","Crawfor",3,756,1,756,0,5,961,642,"RL","1Fam",307,"GasA",7,"1910_1920","TA",5.37989735354046,2,"TA","Gd","Abnorml","None",6.29341927884648,11.8493977015914,"Barato"
"4",9.56528381773677,7.69575799055476,"2_story_1946_","NoRidge",4,1053,2,1145,350,5,1145,836,"RL","1Fam",276,"GasA",8,"1990_","Gd",6.48616078894409,3.5,"Gd","Gd","Normal","BrkFace",6.19644412779452,12.4292161968444,"Caro"
"5",9.55506418479516,7.21744343169653,"1_5_story_fin","Mitchel",1,566,1,796,0,5,796,480,"RL","1Fam",390,"GasA",5,"1990_","Gd",6.59714570188665,2.5,"TA","TA","Normal","None",4.17438726989564,11.870599909242,"Barato"
"6",9.29844282019773,7.13409372119287,"1_story_1946_","NAmes",2,0,1,1253,212,5,1253,352,"RL","1Fam",389,"GasA",6,"1950_1960","TA",6.59850902861452,2.5,"TA","TA","Normal","BrkFace",6.25575004175337,11.9640010843304,"Barato"
"7",9.52485909838152,7.01660968389422,"1_story_1946_","SawyerW",3,0,1,1114,0,5,1114,576,"RL","1Fam",102,"GasA",5,"1990_","TA",6.4723462945009,2.5,"TA","Gd","Normal","None",6.15060276844628,11.9766594812024,"Barato"
"8",8.9159693113736,7.01121398735037,"1_5_story_unf","IDOTRR",3,0,1,637,0,7,1108,280,"RM","1Fam",205,"GasA",7,"1920_1930","TA",0,1,"TA","Gd","Normal","None",6.45833828334479,11.8451027773086,"Barato"
"9",9.05310159554969,7.11395610956603,"1_story_1946_","Sawyer",3,0,1,1228,0,6,1228,271,"RL","1Fam",65,"GasA",5,"1960_1970","TA",0,1.5,"TA","Gd","Normal","None",7.11395610956603,11.9140478236443,"Barato"
"10",8.89754559870933,7.35372233039963,"1_story_PUD_1946_","NridgHt",2,0,2,1561,246,5,1561,556,"RL","TwnhsE",250,"GasA",9,"1990_","Ex",7.05098944706805,3,"Ex","Ex","Normal","BrkFace",6.0137151560428,12.5335762121686,"Caro"
"11",9.50442689210096,7.80506704425849,"2_story_1946_","NridgHt",4,1320,3,1117,132,5,1132,691,"RL","1Fam",145,"GasA",8,"1990_","Ex",0,3.5,"Gd","Gd","Normal","Stone",7.01929665371504,12.6410965558799,"Caro"
"12",9.45899571245912,7.67322312112171,"1_5_story_fin","Mitchel",1,631,1,1434,0,5,1518,670,"RL","1Fam",409,"GasA",7,"1990_","Ex",7.20934025660291,2.5,"Gd","Gd","Abnorml","None",4.43081679884331,12.3870850123755,"Barato"
"13",10.8252035410553,7.51914995766982,"1_story_1946_","Veenker",0,0,0,1842,0,5,1842,894,"RL","1Fam",929,"GasA",9,"1980_1990","Ex",7.50163445788341,2.5,"Gd","Gd","Normal","None",3.49650756146648,12.8609986132699,"Caro"
"14",8.87276752991094,7.21597500265147,"split_multi_level","NAmes",3,0,1,384,0,5,1360,572,"RL","1Fam",50,"GasA",5,"1950_1960","TA",5.95324333428778,1,"TA","TA","Normal","None",0,11.7752897294377,"Barato"
"15",9.36271805239707,7.45066079621154,"2_story_1946_","CollgCr",3,860,2,860,0,5,860,565,"RL","1Fam",70,"GasA",7,"1990_","Gd",0,2.5,"Gd","Gd","Normal","None",6.75809450442773,12.1884177102915,"Barato"
"16",9.52390946537981,7.98820359702258,"2_story_1946_","StoneBr",3,1519,3,1410,1031,5,1426,641,"RL","1Fam",229,"GasA",10,"1990_","Ex",0,3.5,"Ex","Gd","Partial","BrkFace",7.25205395185281,12.9917534274931,"Caro"
"17",8.88197518424887,6.66057514983969,"1_story_1946_","CollgCr",2,0,1,780,0,7,780,352,"RL","1Fam",196,"GasA",5,"1970_1980","TA",6.45047042214418,1,"TA","TA","Normal","None",5.00394630594546,11.7352686961137,"Barato"
"18",8.77074954913864,7.22329567956231,"1_story_PUD_1946_","NridgHt",2,0,2,1370,178,5,1370,484,"RL","TwnhsE",169,"GasA",8,"1990_","Gd",3.2188758248682,2,"Gd","Gd","Normal","Stone",7.20563517641036,12.2184951655287,"Barato"
"19",9.14590851181679,7.6182510978767,"2_story_1946_","CollgCr",3,977,2,1057,573,5,1057,645,"RL","1Fam",612,"GasA",7,"1990_","Gd",6.60665018619822,3.5,"TA","Gd","Normal","BrkFace",5.76519110278484,12.2991075114974,"Barato"
"20",8.43576619272051,6.61740297797448,"1_story_1945_","OldTown",2,0,1,747,0,6,747,220,"RM","1Fam",0,"GasA",4,"1940_1950","TA",0,1,"TA","TA","Normal","None",6.61740297797448,11.289781913656,"Barato"
"21",7.37588214821501,6.89669433162271,"PUD_multilevel","MeadowV",2,462,1,462,0,5,526,297,"RM","Twnhs",221,"GasA",4,"1970_1980","Gd",6.13772705408623,2,"TA","TA","Normal","None",0,11.418614785499,"Barato"
