"","LotArea","GrLivArea","MSSubClass","2ndFlrSF","BedroomAbvGr","Neighborhood","GarageType","MasVnrArea","Total_porch_SF","FullBath","OverallCond","PavedDrive","YearBuilt","BldgType","1stFlrSF","BsmtUnfSF","BsmtQual","TotalBsmtSF","OverallQual","BsmtFinSF1","SaleCondition","GarageArea","FireplaceQu","SaleType","KitchenQual","SalePrice","GrupoPrecio"
"1",9.04204005654448,7.44483327389219,"2_story_1946_",854,3,"CollgCr","Attchd",196,61,2,5,"Y","1990_","1Fam",856,5.01727983681492,"Gd",856,7,6.56103066589657,"Normal",548,"NA","WD","Gd",12.247694320221,"Barato"
"2",9.21880445038831,7.43543801981455,"1_story_1946_",0,3,"Somerst","Attchd",186,312,2,5,"Y","1990_","1Fam",1694,5.76205138278018,"Ex",1686,8,7.22256601882217,"Normal",636,"Gd","WD","Gd",12.6346030265693,"Caro"
"3",9.24792513230345,7.64539769942863,"2_story_1946_",983,3,"NWAmes","Attchd",240,667,2,6,"Y","1970_1980","1Fam",1107,5.37989735354046,"Gd",1107,7,6.75693238924755,"Normal",484,"TA","WD","TA",12.2060726455302,"Barato"
"4",8.71948076085107,7.48155570190952,"1_5_story_fin",752,2,"OldTown","Detchd",0,295,2,5,"Y","1930_1940","1Fam",1022,6.8596149036542,"TA",952,7,0,"Abnorml",468,"TA","WD","TA",11.7745202026587,"Barato"
"5",8.91206909797013,6.98286275146894,"2_family_conversion",0,2,"BrkSide","Attchd",0,4,1,6,"Y","1930_1940","2fmCon",1077,4.94875989037817,"TA",991,5,6.74758652682932,"Normal",205,"TA","WD","TA",11.6784399034478,"Barato"
"6",9.32375833901174,6.94793706861497,"1_story_1946_",0,3,"Sawyer","Detchd",0,0,1,5,"Y","1960_1970","1Fam",1040,4.90527477843843,"TA",1040,5,6.81014245011514,"Normal",384,"NA","WD","TA",11.7714361601217,"Barato"
"7",9.38639231575654,7.75147531802146,"2_story_1946_",1142,4,"NridgHt","BuiltIn",286,168,3,5,"Y","1990_","1Fam",1182,5.18178355029209,"Ex",1175,9,6.90675477864855,"Partial",736,"Gd","New","Ex",12.7512996960135,"Caro"
"8",9.2735968216112,7.30988148582479,"1_story_1946_",0,3,"CollgCr","Attchd",306,193,2,5,"Y","1990_","1Fam",1494,7.30988148582479,"Gd",1494,7,0,"Partial",840,"Gd","New","Gd",12.5407575715773,"Caro"
"9",8.71948076085107,6.75110146893676,"1_5_story_unf",0,2,"BrkSide","Detchd",0,160,1,8,"Y","1920_1930","1Fam",854,6.72503364216684,"TA",832,7,0,"Normal",576,"NA","WD","TA",11.7905572015685,"Barato"
"10",9.32741204356202,6.91274282049318,"1_story_1946_",0,2,"NAmes","Attchd",180,0,1,7,"Y","1960_1970","1Fam",1004,6.05678401322862,"TA",1004,6,6.361302477573,"Normal",480,"TA","WD","TA",11.9117015849276,"Barato"
