"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasFirePlaces","GrupoPrecio"
"1","2_story_1946_","RL",-0.100429073167245,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",0.515054902840639,"Gd","TA","PConc","Gd","TA","No","Unf",0.779604394545097,"Unf",-0.291669319640286,-0.33216804093028,-0.452956224597451,"GasA","Ex","Y","SBrkr",-0.780051234352781,1.21134349807613,-0.0991637380559907,0.567645117729903,1.08932288395495,-0.247287524019095,0.782632751072817,1.23679514399648,0.174237877190049,-0.198938873711235,"Gd",0.99082950082538,"Typ",-0.925709800057813,"NA","Attchd",1.01941730519201,"RFn",0.30485717931597,0.3479045623959,"TA","TA","Y",-0.746212490716523,0.201925224156368,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"2","2008","WD","Normal",0.653486963669713,0.171647115947362,1.59757853277065,-0.761727952578666,"FALSE","FALSE","Barato"
"2","1_story_1946_","RL",0.246834563982436,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",0.459812898949923,"Gd","TA","PConc","Ex","TA","Av","Unf",1.00107405558194,"Unf",-0.291669319640286,0.0676263621718982,1.42626108032097,"GasA","Ex","Y","SBrkr",1.35791820348604,-0.774634557004699,-0.0991637380559907,0.538801332429892,1.08932288395495,-0.247287524019095,0.782632751072817,-0.75451328527069,0.174237877190049,-0.198938873711235,"Gd",0.356060467117781,"Typ",0.623629865303447,"Gd","Attchd",1.05880275802248,"RFn",0.30485717931597,0.758352907079723,"TA","TA","Y",1.2960407530221,0.142861913345238,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"8","2007","WD","Normal",1.98838699464186,1.05300642484416,0.97476956200822,0.811320828086885,"FALSE","FALSE","Caro"
"3","2_story_1946_","RL",0.304043788635822,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,"1970_1980","1970_1980","Gable","CompShg","HdBoard","HdBoard","Stone",0.75811971995979,"TA","TA","CBlock","Gd","TA","Mn","BLQ",0.845188626854379,"BLQ",-0.0943823164445769,-0.137514452942047,0.115337201347758,"GasA","Ex","Y","SBrkr",-0.139680913472655,1.51133315745017,-0.0991637380559907,1.18338548847297,1.08932288395495,-0.247287524019095,0.782632751072817,1.23679514399648,0.174237877190049,-0.198938873711235,"TA",0.356060467117781,"Typ",2.17296953066471,"TA","Attchd",-0.162146279722087,"RFn",0.30485717931597,0.0493966753531199,"TA","TA","Y",1.135864028023,2.31343858565426,3.18038246440631,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","Shed",0.494766886325079,"11","2009","WD","Normal",0.509885194254201,0.874951705168501,1.59757853277065,3.03615077683697,"FALSE","FALSE","Barato"
"4","1_5_story_fin","RM",-0.734115030973303,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,"1930_1940","1940_1950","Gable","CompShg","BrkFace","Wd Shng","None",-0.567688373417399,"TA","TA","BrkTil","TA","TA","No","Unf",-1.41690593737042,"Unf",-0.291669319640286,0.65679998873124,-0.23560097005267,"GasA","Gd","Y","FuseF",-0.356539388671104,0.974142372059453,-0.0991637380559907,0.680384360402149,-0.825377178471893,-0.247287524019095,0.782632751072817,-0.75451328527069,-1.03620832783924,4.37198814102441,"TA",0.99082950082538,"Min1",2.17296953066471,"TA","Detchd",-1.81633529860182,"Unf",0.30485717931597,-0.0252302964075751,"Fa","TA","Y",-0.0254172282205363,-0.698790265713364,2.82345298099918,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"4","2008","WD","Abnorml",-0.979043227109876,0.365133612249946,-0.270848379516639,0.704779675611529,"FALSE","FALSE","Barato"
"5","2_family_conversion","RL",-0.35576436336282,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,"1930_1940","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",-0.567688373417399,"TA","TA","BrkTil","TA","TA","No","Unf",0.842059806946705,"Unf",-0.291669319640286,-0.368949643603852,-0.147300397893852,"GasA","Ex","Y","SBrkr",-0.216219198836814,-0.774634557004699,-0.0991637380559907,-0.850621855530418,1.08932288395495,-0.247287524019095,-1.02333702424987,-0.75451328527069,-1.03620832783924,4.37198814102441,"TA",-0.913477600297417,"Typ",2.17296953066471,"TA","Attchd",-1.50125167595806,"RFn",-1.0161905977199,-1.251911144724,"Gd","TA","Y",-0.746212490716523,-0.639726954902234,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"1","2008","WD","Normal",-1.31053639924066,-0.518547817766396,-0.270848379516639,-1.11895416970192,"FALSE","FALSE","Barato"
"6","1_story_1946_","RL",0.453022407041908,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"1960_1970","1960_1970","Hip","CompShg","HdBoard","HdBoard","None",-0.567688373417399,"TA","TA","CBlock","TA","TA","No","Unf",0.863002359849869,"Unf",-0.291669319640286,-0.392292512253926,-0.0363586533866203,"GasA","Ex","Y","SBrkr",-0.310616417452609,-0.774634557004699,-0.0991637380559907,-0.957845022607238,1.08932288395495,-0.247287524019095,-1.02333702424987,-0.75451328527069,0.174237877190049,-0.198938873711235,"TA",-0.913477600297417,"Typ",-0.925709800057813,"NA","Detchd",-0.477229902365846,"Unf",-1.0161905977199,-0.417021898151224,"TA","TA","Y",-0.746212490716523,-0.698790265713364,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"2","2008","WD","Normal",-0.989683691928994,-0.500039717688865,-0.270848379516639,-1.14402267616671,"FALSE","FALSE","Barato"
"7","2_story_1946_","RL",0.576070392558522,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Hip","CompShg","WdShing","Wd Shng","Stone",1.01223293785709,"Ex","TA","PConc","Ex","TA","No","Unf",0.89534636014804,"Unf",-0.291669319640286,-0.243862218434798,0.269297173316979,"GasA","Ex","Y","SBrkr",0.051664799937741,1.88108785388794,-0.0991637380559907,1.50904778887938,1.08932288395495,-0.247287524019095,2.58860252639551,-0.75451328527069,1.38468408221933,-0.198938873711235,"Ex",2.89513660194818,"Typ",2.17296953066471,"Gd","BuiltIn",1.09818821085295,"Fin",1.62590495635184,1.22477148058407,"TA","TA","Y",0.431086438026922,-0.388707883954931,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"7","2006","New","Partial",2.39101010727638,1.1636899821349,2.22038750353308,-0.0911454046455428,"FALSE","FALSE","Caro"
"8","1_story_1946_","RL",0.354477272477936,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",1.12271694563852,"Gd","TA","PConc","Gd","TA","Av","Unf",-1.41690593737042,"Unf",-0.291669319640286,0.898503717117428,0.991550571231409,"GasA","Ex","Y","SBrkr",0.847662967724989,-0.774634557004699,-0.0991637380559907,0.153338025159452,-0.825377178471893,-0.247287524019095,0.782632751072817,-0.75451328527069,0.174237877190049,-0.198938873711235,"Gd",0.356060467117781,"Typ",0.623629865303447,"Gd","Attchd",1.13757366368342,"RFn",1.62590495635184,1.70984679702858,"TA","TA","Y",0.535201309276342,-0.211517951521542,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","NA",-0.0918138264891371,"8","2007","New","Partial",1.66460441048185,0.658684785504991,-0.270848379516639,0.0655327607593926,"FALSE","FALSE","Caro"
"9","1_5_story_unf","RM",-0.734115030973303,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"1920_1930","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",-0.567688373417399,"TA","TA","BrkTil","TA","TA","No","Unf",-1.41690593737042,"Unf",-0.291669319640286,0.584556580136268,-0.507295038233647,"GasA","Ex","Y","FuseA",-0.785153786710391,-0.774634557004699,-0.0991637380559907,-1.56213775695994,-0.825377178471893,-0.247287524019095,-1.02333702424987,-0.75451328527069,-1.03620832783924,-0.198938873711235,"TA",-0.913477600297417,"Typ",-0.925709800057813,"NA","Detchd",0.54679187122637,"Unf",0.30485717931597,0.478501762977116,"TA","TA","Y",-0.361788350718663,0.954982436998274,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","GdPrv","NA",-0.0918138264891371,"7","2007","WD","Normal",-0.923712886928435,-1.17181823444268,-1.5164663210415,-0.141282417575122,"FALSE","FALSE","Barato"
"10","1_story_1946_","RL",0.460200316029178,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,"1960_1970","1960_1970","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",0.426667696615493,"TA","TA","CBlock","TA","TA","No","Unf",0.712739133343402,"Unf",-0.291669319640286,0.225839248664704,-0.117866873840913,"GasA","Ex","Y","SBrkr",-0.402462359889599,-0.774634557004699,-0.0991637380559907,-1.06589269521206,1.08932288395495,-0.247287524019095,-1.02333702424987,-0.75451328527069,-1.03620832783924,-0.198938873711235,"TA",-0.913477600297417,"Typ",0.623629865303447,"TA","Attchd",-0.280302638213497,"Fin",0.30485717931597,0.0307399324129462,"TA","TA","Y",-0.746212490716523,-0.698790265713364,-0.357875023281709,-0.101227031600664,-0.288330404854844,-0.070328784149192,"NA","NA","Shed",1.0813475991393,"3","2010","WD","Normal",-0.505744414147273,-0.61272952876522,-0.270848379516639,-1.14402267616671,"FALSE","FALSE","Barato"
