"","MSSubClass","MSZoning","LotArea","Street","Alley","LotShape","LandContour","Utilities","LotConfig","LandSlope","Neighborhood","Condition1","Condition2","BldgType","HouseStyle","OverallQual","OverallCond","YearBuilt","YearRemodAdd","RoofStyle","RoofMatl","Exterior1st","Exterior2nd","MasVnrType","MasVnrArea","ExterQual","ExterCond","Foundation","BsmtQual","BsmtCond","BsmtExposure","BsmtFinType1","BsmtFinSF1","BsmtFinType2","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","Heating","HeatingQC","CentralAir","Electrical","1stFlrSF","2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","KitchenQual","TotRmsAbvGrd","Functional","Fireplaces","FireplaceQu","GarageType","GarageYrBlt","GarageFinish","GarageCars","GarageArea","GarageQual","GarageCond","PavedDrive","WoodDeckSF","OpenPorchSF","EnclosedPorch","3SsnPorch","ScreenPorch","PoolArea","PoolQC","Fence","MiscFeature","MiscVal","MoSold","YrSold","SaleType","SaleCondition","SalePrice","TotalSF","Total_Bathrooms","Total_porch_SF","hasPool","hasFirePlaces","GrupoPrecio"
"1","2_story_1946_","RL",9.04204005654448,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","2Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","BrkFace",196,"Gd","TA","PConc","Gd","TA","No","Unf",6.56103066589657,"Unf",0,5.01727983681492,856,"GasA","Ex","Y","SBrkr",856,854,0,7.44483327389219,1,0,2,1,3,0.693147180559945,"Gd",8,"Typ",0,"NA","Attchd",2003,"RFn",2,548,"TA","TA","Y",0,61,0,0,0,0,"NA","NA","NA",0,"2","2008","WD","Normal",12.247694320221,7.85010354517558,3.5,61,"FALSE","FALSE","Barato"
"2","1_story_1946_","RL",9.21880445038831,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Somerst","Norm","Norm","1Fam","1Story",8,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",186,"Gd","TA","PConc","Ex","TA","Av","Unf",7.22256601882217,"Unf",0,5.76205138278018,1686,"GasA","Ex","Y","SBrkr",1694,0,0,7.43543801981455,1,0,2,0,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Attchd",2004,"RFn",2,636,"TA","TA","Y",255,57,0,0,0,0,"NA","NA","NA",0,"8","2007","WD","Normal",12.6346030265693,8.12563098847706,3,312,"FALSE","FALSE","Caro"
"3","2_story_1946_","RL",9.24792513230345,"Pave","NA","IR1","Lvl","AllPub","Corner","Gtl","NWAmes","PosN","Norm","1Fam","2Story",7,6,"1970_1980","1970_1980","Gable","CompShg","HdBoard","HdBoard","Stone",240,"TA","TA","CBlock","Gd","TA","Mn","BLQ",6.75693238924755,"BLQ",32,5.37989735354046,1107,"GasA","Ex","Y","SBrkr",1107,983,0,7.64539769942863,1,0,2,1,3,0.693147180559945,"TA",7,"Typ",2,"TA","Attchd",1973,"RFn",2,484,"TA","TA","Y",235,204,228,0,0,0,"NA","NA","Shed",350,"11","2009","WD","Normal",12.2060726455302,8.06996814905984,3.5,667,"FALSE","FALSE","Barato"
"4","1_5_story_fin","RM",8.71948076085107,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","OldTown","Artery","Norm","1Fam","1.5Fin",7,5,"1930_1940","1940_1950","Gable","CompShg","BrkFace","Wd Shng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.8596149036542,952,"GasA","Gd","Y","FuseF",1022,752,0,7.48155570190952,0,0,2,0,2,1.09861228866811,"TA",8,"Min1",2,"TA","Detchd",1931,"Unf",2,468,"Fa","TA","Y",90,0,205,0,0,0,"NA","NA","NA",0,"4","2008","WD","Abnorml",11.7745202026587,7.91059061225648,2,295,"FALSE","FALSE","Barato"
"5","2_family_conversion","RL",8.91206909797013,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Artery","Artery","2fmCon","1.5Unf",5,6,"1930_1940","1940_1950","Gable","CompShg","MetalSd","MetalSd","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",6.74758652682932,"Unf",0,4.94875989037817,991,"GasA","Ex","Y","SBrkr",1077,0,0,6.98286275146894,1,0,1,0,2,1.09861228866811,"TA",5,"Typ",2,"TA","Attchd",1939,"RFn",1,205,"Gd","TA","Y",0,4,0,0,0,0,"NA","NA","NA",0,"1","2008","WD","Normal",11.6784399034478,7.63433723562832,2,4,"FALSE","FALSE","Barato"
"6","1_story_1946_","RL",9.32375833901174,"Pave","NA","Reg","Lvl","AllPub","Inside","Gtl","Sawyer","Norm","Norm","1Fam","1Story",5,5,"1960_1970","1960_1970","Hip","CompShg","HdBoard","HdBoard","None",0,"TA","TA","CBlock","TA","TA","No","Unf",6.81014245011514,"Unf",0,4.90527477843843,1040,"GasA","Ex","Y","SBrkr",1040,0,0,6.94793706861497,1,0,1,0,3,0.693147180559945,"TA",5,"Typ",0,"NA","Detchd",1965,"Unf",1,384,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","NA",0,"2","2008","WD","Normal",11.7714361601217,7.64012317269536,2,0,"FALSE","FALSE","Barato"
"7","2_story_1946_","RL",9.38639231575654,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","NridgHt","Norm","Norm","1Fam","2Story",9,5,"1990_","1990_","Hip","CompShg","WdShing","Wd Shng","Stone",286,"Ex","TA","PConc","Ex","TA","No","Unf",6.90675477864855,"Unf",0,5.18178355029209,1175,"GasA","Ex","Y","SBrkr",1182,1142,0,7.75147531802146,1,0,3,0,4,0.693147180559945,"Ex",11,"Typ",2,"Gd","BuiltIn",2005,"Fin",3,736,"TA","TA","Y",147,21,0,0,0,0,"NA","NA","NA",0,"7","2006","New","Partial",12.7512996960135,8.16023249236769,4,168,"FALSE","FALSE","Caro"
"8","1_story_1946_","RL",9.2735968216112,"Pave","NA","IR1","Lvl","AllPub","Inside","Gtl","CollgCr","Norm","Norm","1Fam","1Story",7,5,"1990_","1990_","Gable","CompShg","VinylSd","VinylSd","Stone",306,"Gd","TA","PConc","Gd","TA","Av","Unf",0,"Unf",0,7.30988148582479,1494,"GasA","Ex","Y","SBrkr",1494,0,0,7.30988148582479,0,0,2,0,3,0.693147180559945,"Gd",7,"Typ",1,"Gd","Attchd",2006,"RFn",3,840,"TA","TA","Y",160,33,0,0,0,0,"NA","NA","NA",0,"8","2007","New","Partial",12.5407575715773,8.00235954625271,2,193,"FALSE","FALSE","Caro"
"9","1_5_story_unf","RM",8.71948076085107,"Pave","NA","Reg","Lvl","AllPub","Corner","Gtl","BrkSide","Norm","Norm","1Fam","1.5Unf",7,8,"1920_1930","1990_","Gable","CompShg","Wd Sdng","Wd Sdng","None",0,"TA","TA","BrkTil","TA","TA","No","Unf",0,"Unf",0,6.72503364216684,832,"GasA","Ex","Y","FuseA",854,0,0,6.75110146893676,0,0,1,0,2,0.693147180559945,"TA",5,"Typ",0,"NA","Detchd",1991,"Unf",2,576,"TA","TA","Y",48,112,0,0,0,0,"NA","GdPrv","NA",0,"7","2007","WD","Normal",11.7905572015685,7.4301141385618,1,160,"FALSE","FALSE","Barato"
"10","1_story_1946_","RL",9.32741204356202,"Pave","NA","IR1","Lvl","AllPub","CulDSac","Gtl","NAmes","Norm","Norm","1Fam","1Story",6,7,"1960_1970","1960_1970","Gable","CompShg","Wd Sdng","Wd Sdng","BrkFace",180,"TA","TA","CBlock","TA","TA","No","Unf",6.361302477573,"Unf",0,6.05678401322862,1004,"GasA","Ex","Y","SBrkr",1004,0,0,6.91274282049318,1,0,1,0,2,0.693147180559945,"TA",5,"Typ",1,"TA","Attchd",1970,"Fin",2,480,"TA","TA","Y",0,0,0,0,0,0,"NA","NA","Shed",700,"3","2010","WD","Normal",11.9117015849276,7.60489448081162,2,0,"FALSE","FALSE","Barato"
